plugin_id,plugin_type,plugin_name,plugin_status,actionability_state,recommendation_count,actionable_via_discovery,reason_code,reason_code_detail,recommended_next_step,next_step_lane_id,expected_post_state,finding_count,finding_kind_preview,plugin_summary
analysis_poisson_regression_rate_drivers_v1,analysis,analysis_poisson_regression_rate_drivers_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_process_counterfactuals,analysis,Process Counterfactuals,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_process_drift_conformance_over_time,analysis,Process Drift Conformance Over Time,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_process_sequence,analysis,Process Sequence Mining,ok,actionable,1,True,,,,already_actionable,actionable,20,process_variant,REUSED from baseline_freshman_20260219b
analysis_process_sequence_bottlenecks,analysis,Process Sequence Bottlenecks,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_proportional_hazards_duration,analysis,Proportional Hazards Duration,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_quantile_loss_boosting_v1,analysis,analysis_quantile_loss_boosting_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_quantile_mapping_drift_qq_v1,analysis,analysis_quantile_mapping_drift_qq_v1,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_quantile_regression_duration,analysis,Quantile Regression Duration,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_quantile_regression_forest_v1,analysis,analysis_quantile_regression_forest_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,10,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_quantile_sketch_p2_streaming_v1,analysis,analysis_quantile_sketch_p2_streaming_v1,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_queue_delay_decomposition,analysis,Queue Delay Decomposition,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,11,capacity_scale_model;eligible_wait_process_stats;eligible_wait_impact,REUSED from baseline_freshman_20260219b
analysis_queue_model_fit,analysis,Queue Model Fit,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_random_matrix_marchenko_pastur_denoise_v1,analysis,analysis_random_matrix_marchenko_pastur_denoise_v1,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_randomization_test_median_shift_v1,analysis,analysis_randomization_test_median_shift_v1,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_recommendation_dedupe_v2,analysis,Recommendation Dedupe v2,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,recommendation_dedupe_summary,REUSED from baseline_freshman_20260219b
analysis_recurrence_quantification_rqa_v1,analysis,analysis_recurrence_quantification_rqa_v1,ok,explained_non_actionable,0,False,NO_STATISTICAL_SIGNAL,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,analysis_no_action_diagnostic,REUSED from baseline_freshman_20260219b
analysis_regression_auto,analysis,Regression Auto,ok,explained_non_actionable,0,False,NO_ACTIONABLE_FINDING_CLASS,,"Emit a direct-action finding kind (`actionable_ops_lever`, `ideaspace_action`, or `verified_action`) with process target and modeled delta fields.",direct_action_contract,actionable_or_deterministic_explained_non_actionable,1,regression_auto_drivers,REUSED from baseline_freshman_20260219b
analysis_retry_rate_hotspots_v1,analysis,Retry Rate Hotspots,ok,explained_non_actionable,0,False,PLUGIN_PRECONDITION_UNMET,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_not_applicable,REUSED from baseline_freshman_20260219b
analysis_robust_covariance_outliers,analysis,Robust Covariance Outliers,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,1,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_robust_pca_pcp,analysis,Robust Pca Pcp,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,30,plugin_observation,REUSED from baseline_freshman_20260219b
analysis_robust_pca_sparse_outliers,analysis,Robust PCA Sparse Outliers,ok,explained_non_actionable,0,False,OBSERVATION_ONLY,,Add or extend recommendation adapters for this plugin's finding families.,adapter_extension,actionable_or_deterministic_explained_non_actionable,30,plugin_observation,REUSED from baseline_freshman_20260219b
